投票者名,当日有権者数 (人)_男,当日有権者数 (人)_女,当日有権者数 (人)_計,投票者数 (人)_男,投票者数 (人)_女,投票者数 (人)_計,投票率 (%)_男,投票率 (%)_女,投票率 (%)_計
虎ノ門いきいきプラザ,1310,1495,2805,334,375,709,25.50,25.08,25.28
南桜公園管理棟,840,818,1658,176,202,378,20.95,24.69,22.80
生涯学習センター,370,341,711,107,115,222,28.92,33.72,31.22
福祉プラザさくら川,2049,1948,3997,547,621,1168,26.70,31.88,29.22
エコプラザ,2700,2605,5305,652,712,1364,24.15,27.33,25.71
障害保健福祉センター,2576,2899,5475,728,799,1527,28.26,27.56,27.89
芝小学校,2881,3227,6108,915,1042,1957,31.76,32.29,32.04
芝コミュニティはうす(芝区民協,968,1407,2375,329,476,805,33.99,33.83,33.89
芝浦港南地区総合支所,3417,3649,7066,994,1095,2089,29.09,30.01,29.56
三田中学校,760,877,1637,213,284,497,28.03,32.38,30.36
赤羽小学校,2246,2955,5201,695,886,1581,30.94,29.98,30.40
豊岡いきいきプラザ,2846,3666,6512,1068,1392,2460,37.53,37.97,37.78
HUG高輪(高輪区民協働スペース,1183,1505,2688,431,564,995,36.43,37.48,37.02
御田小学校(旧三光小学校,5015,6504,11519,1570,2068,3638,31.31,31.80,31.58
神応いきいきプラザ,2361,2892,5253,714,860,1574,30.24,29.74,29.96
白金小学校,3446,4697,8143,1130,1433,2563,32.79,30.51,31.47
高輪台小学校,3367,4652,8019,1207,1672,2879,35.85,35.94,35.90
シティハイツ桂坂,1951,2420,4371,665,863,1528,34.09,35.66,34.96
国民生活センター,2136,2510,4646,570,705,1275,26.69,28.09,27.44
港南小学校,3592,4208,7800,1265,1431,2696,35.22,34.01,34.56
六本木中学校,1585,1622,3207,325,406,731,20.50,25.03,22.79
麻布小学校,2545,2893,5438,618,722,1340,24.28,24.96,24.64
飯倉いきいきプラザ,2419,2806,5225,741,935,1676,30.63,33.32,32.08
南山小学校,2006,2411,4417,540,674,1214,26.92,27.96,27.48
南麻布いきいきプラザ,4362,5566,9928,1188,1501,2689,27.24,26.97,27.09
本村小学校,2260,3026,5286,667,855,1522,29.51,28.26,28.79
笄小学校,2284,2898,5182,624,802,1426,27.32,27.67,27.52
西麻布いきいきプラザ,1543,1633,3176,415,506,921,26.90,30.99,29.00
高陵中学校,1612,2056,3668,449,563,1012,27.85,27.38,27.59
赤坂地区総合支所,1477,1491,2968,381,420,801,25.80,28.17,26.99
赤坂子ども中高生プラザ,3052,3306,6358,685,854,1539,22.44,25.83,24.21
赤坂学園赤坂小学校,2599,3021,5620,717,946,1663,27.59,31.31,29.59
赤坂図書館,1094,1388,2482,342,413,755,31.26,29.76,30.42
青山小学校,1266,1640,2906,412,532,944,32.54,32.44,32.48
青南小学校,2683,3376,6059,800,995,1795,29.82,29.47,29.63
赤坂子ども中高生プラザ青山館,478,635,1113,136,199,335,28.45,31.34,30.10
お台場学園,1931,2145,4076,632,724,1356,32.73,33.75,33.27
芝浦港南区民センター,3381,3681,7062,1313,1418,2731,38.83,38.52,38.67
品川インターシティC棟,1084,1214,2298,393,441,834,36.25,36.33,36.29
港区芝浦アイランド児童高齢者交,3831,3836,7667,1125,1191,2316,29.37,31.05,30.21
シティハイツ港南,2449,2743,5192,896,1024,1920,36.59,37.33,36.98
