執行年月日,選挙名,天候,有権者_男,有権者_女,有権者_計,投票者_男,投票者_女,投票者_計,投票率_男,投票率_女,投票率_平均
昭22.4.5（土）,東京都知事選挙,晴時々曇,51697,43276,94973,30673,20836,51509,59.33,48.15,54.24
昭22.4.5（土）,港区長選挙,晴時々曇,51693,43275,94968,30670,20834,51504,59.33,48.14,54.23
22.4.20（日）,参議院議員選挙,晴時々曇後雨,51946,43426,95372,29368,19665,49033,56.54,45.28,51.41
22.4.25（金）,衆議院議員選挙,曇,51860,43351,95211,31799,21368,53167,61.32,49.29,55.84
22.4.30（水）,東京都議会議員選挙,曇後晴,50317,42068,92385,30394,23062,53456,60.41,54.82,57.86
22.4.30（水）,港区議会議員選挙,雲後晴,50256,42029,92285,30386,23060,53446,60.46,54.87,57.91
23.10.5（土）,東京都教育委員会委員選挙,曇,53208,46055,99263,14011,9633,23644,26.33,20.92,23.82
24.1.23（日）,衆議院議員選挙,快晴,59106,53676,112782,37353,27040,64393,63.20,50.38,57.10
24.2.11（金）,港区長選挙,晴,57037,52251,109288,27275,22931,50206,47.82,43.89,45.94
24.12.5（月）,港区長選挙,快晴,56572,54334,110906,19133,16615,35748,33.82,30.58,32.23
25.6.4（日）,参議院議員選挙,雨時々量,55819,54348,110167,34203,26559,60762,61.27,48.87,55.15
25.11.10（日）,東京都教育委員会委員選挙,曇後雨,54930,54090,109020,11127,8153,19280,20.26,15.07,17.68
26.4.23（月）,港区議会議員選挙,曇後晴,69600,68843,138443,48735,48172,96907,70.02,69.97,70.00
26.4.30（月）,東京都知事選挙,小雨後晴,72173,71169,143342,42884,37776,80660,59.42,53.08,56.27
26.4.30（月）,東京都議会議員選挙,小雨後晴,72173,71169,143342,42872,37769,80641,59.40,53.07,56.26
27.10.1（水）,衆議院議員選挙,曇,81271,80794,162065,51484,45134,96618,63.35,55.86,59.62
27.10.5（日）,東京都教育委員会委員選挙,晴,79411,78911,158322,20063,17391,37454,25.26,22.04,23.66
27.10.5（日）,港区教育委員会委員選挙,晴,75312,75109,150421,20034,17365,37399,26.60,23.12,24.86
28.4.19（日）,衆議院議員選挙,晴後曇,71795,72130,143925,43508,36951,80459,60.60,51.23,55.90
28.4.24（金）,参議院議員選挙,晴,71583,71953,143536,34598,28356,62954,48.33,39.41,43.86
30.2.27（日）,衆議院議員選挙,曇後雨,74737,75215,149952,52212,44408,96620,69.86,59.04,64.43
30.4.23（土）,東京都知事選挙,,76599,77342,153941,43840,39685,83525,57.23,51.31,54.26
30.4.23（土）,東京都議会議員選挙,,76599,77342,153941,43834,39684,83518,57.23,51.31,54.25
30.4.30（木）,港区議会議員選挙,曇,79536,77819,157355,45419,45639,91058,57.10,58.65,57.87
34.6.2（火）,参議院議員選挙,最一時雨,81411,79482,160893,39838,37488,77326,48.93,47.17,48.06
35.11.20（日）,衆議院議員選挙,晴,76422,73911,150333,46829,41994,88823,61.28,56.82,59.08
37.7.1（日）,参議院議員選挙,雨後量,81113,77526,158639,48214,45997,94211,59.44,59.33,59.39
38.4.17（水）,東京都知事選挙,晴時々曇,80013,76823,156836,51018,48382,99400,63.76,62.98,63.38
38.4.17（水）,東京都議会議員選挙,晴時々曇,80013,76823,156836,51014,48383,99397,63.76,62.98,63.38
38.4.30（木）,港区議会議員選挙,晴一時雨,77579,74984,152563,41084,42606,83690,52.96,56.82,54.86
38.11.21（木）,衆議院議員選挙,晴,80969,78492,159461,43882,39382,83264,54.20,50.17,52.22
40.7.4（日）,参議院議員選挙,,79250,82297,161547,47104,47120,94224,59.44,57.26,58.33
40.7.23（金）,東京都議会議員選挙,雨後曇,78597,76245,154842,44947,44553,89500,57.19,58.43,57.80
42.1.29（8）,衆議院議員選挙,雨後曇,84210,84099,168309,48438,45124,93562,57.52,53.66,55.59
42.4.15（土）,東京都知事選挙,小雨後曇,79241,79466,158707,54414,57508,111922,68.67,72.37,70.52
42.4.15（土）,港区議会議員選挙,小雨後曇,76375,77170,153545,54090,57296,111386,70.82,74.25,72.54
43.7.7（日）,参議院議員選挙,晴,85937,86741,172678,51603,53915,105518,60.05,62.16,61.11
昭44.7.13（日）,東京都議会議員選挙,曇,79221,83133,162354,46376,50273,96649,58.54,60.47,59.53
44.12.27（土）,衆議院議員選挙,曇,84022,85625,169647,45865,46372,92237,54.59,54.16,54.37
46.4.11（日）,東京都知事選挙,快晴,78025,81140,159165,54497,60262,114759,69.85,74.27,72.10
46.4.11（日）,港区議会議員選挙,快晴,76029,79024,155053,54057,60052,114109,71.10,75.99,73.59
46.6.27（日）,参議院議員選挙,曇一時雨,83624,86391,170015,44790,47067,91857,53.56,54.48,54.03
47.12.10（日）,衆議院議員選挙,曇,81636,86294,167930,47275,49465,96740,57.91,57.32,57.61
48.7.8（日）,東京都議会議員選挙,晴,77193,82338,159531,44718,48926,93644,57.93,59.42,58.70
49.7.7（日）,参議院議員選挙,曇,78037,83451,161488,51455,55631,107086,65.94,66.66,66.31
50.4.13（日）,東京都知事選挙,量時々小雨,74127,80652,154779,47498,53253,100751,64.08,66.03,65.09
50.4.27（日）,港区議会議員選挙,曇後雨,71934,78764,150698,36155,41655,77810,50.26,52.89,51.63
50.4.27（日）,港区長選挙,曇後雨,71934,78764,150698,36145,41646,77791,50.25,52.87,51.62
51.12.5（日）,衆議院議員選挙,晴,74052,81299,155351,46523,50759,97282,62.82,62.43,62.62
52.7.10（日）,参議院議員選挙,晴,72919,80832,153751,44280,49480,93760,60.72,61.21,60.98
52.7.10（日）,東京都議会議員選挙,晴,71121,79313,150434,44048,49268,93316,61.93,62.12,62.03
54.4.8（日）,東京都知事選挙,曇後雨,69423,78842,148265,36920,41106,78026,53.18,52.14,52.63
54.4.8（日）,港区長選挙,曇後雨,67762,77394,145156,34220,40909,75129,50.50,52.86,51.76
54.4.22（日）,衆議院議員選挙,曇後雨,67762,77394,145156,34202,40883,75085,50.47,52.82,51.73
54.10.7（日）,衆議院議員選挙,雨,71171,80584,151755,38558,42616,81174,54.18,52.88,53.49
55.6.22（日）,衆議院議員選挙,晴,71495,81367,152862,47208,54631,101839,66.03,67.14,66.62
55.6.22（日）,参議院議員選挙,晴,71495,81367,152862,47197,54599,101796,66.01,67.10,66.59
56.7.5（日）,東京都議会議員選挙,晴,70486,80964,151450,35868,42414,78282,50.89,52.39,51.69
58.4.10（日）,東京都知事選挙,曇後雨,70397,81313,151710,32030,37103,69133,40.50,45.63,45.57
58.4.24（日）,港区議会議員選挙,晴,68922,79747,148669,33576,41412,74988,48.72,51.93,50.44
58.4.24（日）,港区長選挙,曇,68922,79747,148669,33554,41389,74943,48.68,51.90,50.41
58.6.26（日）,参議院議員選挙,晴,72515,83128,155643,35320,39142,74462,48.71,47.09,47.84
58.12.18（日）,衆議院議員選挙,雨時々曇,72184,82636,154820,40789,45704,86493,56.51,55.31,55.87
60.7.7（日）,東京都議会議員選挙,曇後晴,69970,80700,150670,32818,39308,72126,46.90,48.71,47.87
60.11.17（日）,港区長選挙,曇後晴,69078,79608,148686,16852,19329,36181,24.40,24.28,24.33
60.11.17（日）,港区議会議員補欠選挙,曇時々雨,69078,79608,148686,16839,19315,36154,24.38,24.26,24.32
61.7.6（日）,衆議院議員選挙,雨時々曇,70151,80515,150666,39251,45179,84430,55.95,56.11,56.04
61.7.6（日）,参議院議員選挙,雨,70151,80515,150666,39238,45158,84396,55.93,56.09,56.02
62.4.12（日）,東京都知事選挙,晴,67325,77562,144887,26334,30553,56887,39.11,39.39,39.26
62.4.26（日）,港区議会議員選挙,快晴,66032,76121,142153,28959,35454,64413,43.86,46.58,45.31
平元.7.2（日）,東京都議会議員選挙,晴一時曇,62227,71904,134131,32923,40347,73270,52.91,56.11,54.63
元.7.23（日）,参議院議員選挙,雨,63537,72817,136354,34951,40747,75698,55.01,55.96,55.52
元.10.29（日）,港区長選挙,晴,61164,70624,131788,17127,20399,37526,28.00,28.88,28.47
元.10.29（日）,港区議会議員補欠選挙,晴,61164,70624,131788,17118,20394,37512,27.99,28.88,28.46
2.2.18（日）,衆議院議員選挙,晴,62614,71849,134463,38187,45229,83416,60.99,62.95,62.04
3.4.7（日）,東京都知事選挙,晴,59347,68496,127843,28542,35041,63583,48.09,51.16,49.74
3.4.21（日）,港区議会議員選挙,晴,58138,67220,125358,23882,30219,54101,41.08,44.96,43.16
4.6.28（日）,港区長選挙,晴,56476,65984,122460,18366,22862,41228,32.52,34.65,33.67
4.7.26（日）,参議院議員選挙,晴,59164,68423,127587,25696,29262,54958,43.43,42.77,43.07
