投票所名,当日有権者数 (人)_男,当日有権者数 (人)_女,当日有権者数 (人)_計,投票者数 (人)_男,投票者数 (人)_女,投票者数 (人)_計,投票率 (%)_男,投票率 (%)_女,投票率 (%)_計
虎ノ門いきいきプラザ,1209,1433,2642,318,395,713,26.30,27.56,26.99
南桜公園管理棟,738,667,1405,159,182,341,21.54,27.29,24.27
生涯学習センター,356,333,689,128,123,251,35.96,36.94,36.43
福祉プラザさくら川,1843,1899,3742,546,609,1155,29.63,32.07,30.87
エコプラザ,2516,2469,4985,624,684,1308,24.80,27.70,26.24
障害保健福祉センター,2490,2765,5255,707,774,1481,28.39,27.99,28.18
芝小学校,2878,3276,6154,894,1003,1897,31.06,30.62,30.83
港勤労福祉会館,974,1450,2424,345,525,870,35.42,36.21,35.89
芝浦港南地区総合支所,3176,3316,6492,904,1023,1927,28.46,30.85,29.68
三田中学校,703,790,1493,193,230,423,27.45,29.11,28.33
赤羽小学校,2465,3204,5669,709,903,1612,28.76,28.18,28.44
豊岡いきいきプラザ,2763,3554,6317,1026,1309,2335,37.13,36.83,36.96
御田小学校,1134,1491,2625,419,559,978,36.95,37.49,37.26
旧三光小学校(三光学童クラブ),4314,5707,10021,1472,1914,3386,34.12,33.54,33.79
旧神応小学校,2358,2975,5333,717,895,1612,30.41,30.08,30.23
白金小学校,3487,4762,8249,1099,1438,2537,31.52,30.20,30.76
高輪台小学校,3310,4499,7809,1156,1633,2789,34.92,36.30,35.72
シティハイツ桂坂,1995,2523,4518,708,902,1610,35.49,35.75,35.64
国民生活センター,2150,2511,4661,604,705,1309,28.09,28.08,28.08
港南小学校,3604,4164,7768,1138,1335,2473,31.58,32.06,31.84
六本木中学校,1732,1727,3459,374,425,799,21.59,24.61,23.10
麻布小学校,2456,2887,5343,583,713,1296,23.74,24.70,24.26
飯倉いきいきプラザ,2390,2801,5191,682,849,1531,28.54,30.31,29.49
南山小学校,2196,2494,4690,552,659,1211,25.14,26.42,25.82
南麻布いきいきプラザ,4384,5443,9827,1173,1424,2597,26.76,26.16,26.43
本村小学校,2262,2983,5245,641,784,1425,28.34,26.28,27.17
笄小学校,2346,3053,5399,561,730,1291,23.91,23.91,23.91
西麻布いきいきプラザ,1551,1696,3247,389,461,850,25.08,27.18,26.18
高陵中学校,1443,1872,3315,374,474,848,25.92,25.32,25.58
赤坂地区総合支所,1472,1469,2941,380,390,770,25.82,26.55,26.18
赤坂子ども中高生プラザ,3009,3277,6286,678,840,1518,22.53,25.63,24.15
赤坂小学校,2687,3019,5706,690,894,1584,25.68,29.61,27.76
赤坂図書館,1134,1456,2590,353,441,794,31.13,30.29,30.66
青山小学校,1282,1690,2972,421,553,974,32.84,32.72,32.77
青南小学校,2719,3479,6198,801,978,1779,29.46,28.11,28.70
赤坂子ども中高生プラザ青山館,405,559,964,138,193,331,34.07,34.53,34.34
お台場学園,1942,2166,4108,625,730,1355,32.18,33.70,32.98
芝浦港南区民センター,3149,3413,6562,1235,1332,2567,39.22,39.03,39.12
品川インターシティB棟,1034,1215,2249,359,431,790,34.72,35.47,35.13
芝浦アイランド児童高齢者交流プラザ,3718,3689,7407,982,1014,1996,26.41,27.49,26.95
シティハイツ港南,2547,2780,5327,923,1018,1941,36.24,36.62,36.44
