投票所名,有権者数_男,有権者数_女,有権者数_計,投票者数_男,投票者数_女,投票者数_計,投票率_男,投票率_女,投票率_計
1,虎ノ門いきいきプラザ,1327,1513,2840,733,786,1519,55.24,51.95,53.49
2,南桜公園管理棟,865,827,1692,401,408,809,46.36,49.33,47.81
3,生涯学習センター,376,347,723,192,199,391,51.06,57.35,54.08
4,福祉プラザさくら川,2095,2010,4105,1062,1079,2141,50.69,53.68,52.16
5,エコプラザ,2750,2662,5412,1508,1532,3040,54.84,57.55,56.17
6,障害保健福祉センター,2629,2955,5584,1489,1635,3124,56.64,55.33,55.95
7,芝小学校,2931,3265,6196,1672,1800,3472,57.05,55.13,56.04
8,芝コミュニティはうす（芝区民協,976,1415,2391,561,790,1351,57.48,55.83,56.50
9,芝浦港南地区総合支所,3480,3714,7194,1881,2038,3919,54.05,54.87,54.48
10,三田中学校,779,891,1670,413,484,897,53.02,54.32,53.71
11,赤羽小学校,2277,2996,5273,1303,1718,3021,57.22,57.34,57.29
12,豊岡いきいきプラザ,2872,3711,6583,1810,2291,4101,63.02,61.74,62.30
13,HUG高輪（高輪区民協働スペース,1194,1522,2716,742,909,1651,62.14,59.72,60.79
14,御田小学校（旧三光小学校）,5086,6594,11680,2946,3721,6667,57.92,56.43,57.08
15,神応いきいきプラザ,2385,2922,5307,1340,1618,2958,56.18,55.37,55.74
16,白金小学校,3503,4773,8276,2145,2757,4902,61.23,57.76,59.23
17,高輪台小学校,3405,4709,8114,2083,2785,4868,61.17,59.14,60.00
18,シティハイツ桂坂,1985,2442,4427,1205,1461,2666,60.71,59.83,60.22
19,国民生活センタ,2164,2538,4702,1269,1487,2756,58.64,58.59,58.61
20,港南小学校,3656,4254,7910,2307,2590,4897,63.10,60.88,61.91
21,六本木中学校,1631,1668,3299,717,793,1510,43.96,47.54,45.77
22,麻布小学校,2600,2943,5543,1324,1528,2852,50.92,51.92,51.45
23,飯倉いきいきプラザ,2457,2852,5309,1331,1577,2908,54.17,55.29,54.77
24,南山小学校,2042,2438,4480,1029,1226,2255,50.39,50.29,50.33
25,南麻布いきいきプラザ,4430,5657,10087,2317,2861,5178,52.30,50.57,51.33
26,本村小学校,2282,3067,5349,1228,1560,2788,53.81,50.86,52.12
27,笄小学校,2305,2916,5221,1225,1535,2760,53.15,52.64,52.86
28,西麻布いきいきプラザ,1573,1654,3227,797,883,1680,50.67,53.39,52.06
29,高陵中学校,1632,2081,3713,944,1171,2115,57.84,56.27,56.96
30,赤坂地区総合支所,1518,1508,3026,824,853,1677,54.28,56.56,55.42
31,赤坂子ども中高生プラザ,3119,3346,6465,1543,1766,3309,49.47,52.78,51.18
32,赤坂学園赤坂小学校,2648,3044,5692,1448,1724,3172,54.68,56.64,55.73
33,赤坂図書館,1109,1406,2515,658,812,1470,59.33,57.75,58.45
34,青山小学校,1283,1663,2946,735,959,1694,57.29,57.67,57.50
35,青南小学校,2734,3426,6160,1575,1947,3522,57.61,56.83,57.18
36,赤坂子ども中高生プラザ青山館,484,648,1132,283,373,656,58.47,57.56,57.95
37,お台場学園,1960,2172,4132,1181,1341,2522,60.26,61.74,61.04
38,芝浦港南区民センター,3429,3746,7175,2236,2380,4616,65.21,63.53,64.33
39,品川インターシティC棟,1104,1238,2342,723,775,1498,65.49,62.60,63.96
40,港区芝浦アイランド児童高齢者交,3870,3906,7776,2247,2291,4538,58.06,58.65,58.36
41,シティハイツ港南,2476,2766,5242,1579,1719,3298,63.77,62.15,62.91

